question,answer,image_id
what is in front of the shelf,table,image239
what is the object right of the stove close to the wall,refridgerator,image831
what color is the bookshelf in front of wall,brown,image80
what is the largest object,bed,image1138
how many objects are there on the wall,1,image58
how many lights are on,1,image482
what is on the night stand,lamp,image982
what is stuck on the wall,wire_board,image1223
what is in front of the ornamental plant,towel,image825
what is in the shelf on the right side of the room,decorative_bowl,image245
what is on the right side of the cloth bag,table,image944
what is stuck on the wall of the left side,photo,image847
what is the object close to the wall right side of the t shirt,window,image1066
how many chairs are,2,image224
how many chairs are there,7,image1341
what is on the bed,clothes,image418
what is the black object on the counter close to the printer,tape_dispenser,image108
what is in between the tap and the shelf,bar_of_soap,image48
what is the colour of the cup,"white, blue",image98
what are the objects on the table,"printer, monitor, paper, tissue_box",image829
what are the objects that are stacked on the shelf frames,books,image108
what is the object close to the wall below the cabinet,microwave,image854
what is the object to which the jackets are hung close to,hangers,image115
what is on the stand,clothes,image407
what are the objects on the cabinet,"television, books, photo",image1251
what is found on the floor,floor_mat,image1327
what are dominantly filled in the shelves,cup,image97
what is the object on the stool,television,image980
what is the object on the blanket,clothes,image953
what is the colour of the text on the whiteboard,green,image5
what is on the left side of the monitor,telephone,image609
what is hanged behind the curtain,towel,image652
what is right of shelf,television,image262
what color is the garbage bin,white,image952
what is the largest object,bed,image514
what is above the sofa,picture,image1143
what is the object above the sink,mirror,image649
what is on the right side of the door,chair,image925
what is below the decorative item,cabinet,image1362
what is the object on the stool,television,image1138
what is on the stool,"decorative_item, picture",image452
what is the object placed in front of the wall to the right and left of the chairs,table,image20
what is the round object at the end of the room in front of the blue boxes,globe,image308
what is on the right most side,piano,image1044
what is the thing between the cabinet and the table,chair,image1345
what are the object kept close on the shelves,books,image1040
what is behind the baby chair,toy_house,image399
what is on the left side of the printer,pen_cup,image11
what is the object close to the wall above the air vent,window,image142
what is on the left side of the stove,bottle_of_liquid,image572
what are the objects on the shelf,books,image990
what is to the right side of the sofa,table,image1087
what is in between the chairs,stand,image615
how many doors are,1,image12
what is in front of the window,sofa,image1267
what is behind chair,door,image277
how many plates are in the dish rack,2,image130
what is on the right side of the sink,"kitchen_utensils, basket",image573
what is in front of the computer,chair,image216
what is on the blinds,curtain,image584
what is on the chair,pillow,image1420
what is in between the sofa and foosball table,toy_chair,image424
what is on the left side of the wall,garbage_bin,image952
what is on the left side of the rack,mirror,image990
what is the colour of the floor mat,purple,image675
what color is the doors of the cabinets,white,image206
what is in between the chairs,table,image379
what object is plugged in the wall on the right side,lamp,image951
what is on the shelf,books,image254
what is the colour of the blanket found,blue,image1169
what is in front of the television,file_box,image377
what is to the left of the table,window,image1381
what is scattered on the table,paper,image890
how many televisions are there,1,image164
what is in the basket,clothes,image543
what is the colour of the pillars,white,image112
what is on the right side of the table,refridgerator,image831
what is the first object on the table visible,bottle,image830
what is the board close to the ceiling that says course book lists,sign,image108
